Year,MSA,Race,Age,Pop
2019,DFW,B,55-59,74550
2019,DFW,A,55-59,27936
2019,DFW,H,55-59,95461
2019,DFW,W,55-59,271204
2019,DFW,B,55-59,74550
2019,DFW,A,55-59,27936
2019,DFW,H,55-59,95461
2019,DFW,W,60-64,246991
2019,DFW,B,60-64,61153
2019,DFW,A,60-64,22941
2019,DFW,H,60-64,67544
2019,DFW,W,60-64,246991
2019,DFW,B,60-64,61153
2019,DFW,A,60-64,22941
2019,DFW,H,60-64,67544
2019,DFW,W,60-64,246991
2019,DFW,B,60-64,61153
2019,DFW,A,60-64,22941
2019,DFW,H,60-64,67544
2019,DFW,W,60-64,246991
2019,DFW,B,60-64,61153
2019,DFW,A,60-64,22941
2019,DFW,H,60-64,67544
2019,DFW,W,60-64,246991
2019,DFW,B,60-64,61153
2019,DFW,A,60-64,22941
2019,DFW,H,60-64,67544
2019,DFW,W,65-69,200894
2019,DFW,B,65-69,42665
2019,DFW,A,65-69,18565
2019,DFW,H,65-69,43996
2019,DFW,W,65-69,200894
2019,DFW,B,65-69,42665
2019,DFW,A,65-69,18565
2019,DFW,H,65-69,43996
2019,DFW,W,65-69,200894
2019,DFW,B,65-69,42665
2019,DFW,A,65-69,18565
2019,DFW,H,65-69,43996
2019,DFW,W,65-69,200894
2019,DFW,B,65-69,42665
2019,DFW,A,65-69,18565
2019,DFW,H,65-69,43996
2019,DFW,W,65-69,200894
2019,DFW,B,65-69,42665
2019,DFW,A,65-69,18565
2019,DFW,H,65-69,43996
2019,DFW,W,70-74,164994
2019,DFW,B,70-74,28882
2019,DFW,A,70-74,12342
2019,DFW,H,70-74,28550
2019,DFW,W,70-74,164994
2019,DFW,B,70-74,28882
2019,DFW,A,70-74,12342
2019,DFW,H,70-74,28550
2019,DFW,W,70-74,164994
2019,DFW,B,70-74,28882
2019,DFW,A,70-74,12342
2019,DFW,H,70-74,28550
2019,DFW,W,70-74,164994
2019,DFW,B,70-74,28882
2019,DFW,A,70-74,12342
2019,DFW,H,70-74,28550
2019,DFW,W,70-74,164994
2019,DFW,B,70-74,28882
2019,DFW,A,70-74,12342
2019,DFW,H,70-74,28550
2019,DFW,W,75-79,110684
2019,DFW,B,75-79,16739
2019,DFW,A,75-79,7320
2019,DFW,H,75-79,17229
2019,DFW,W,75-79,110684
2019,DFW,B,75-79,16739
2019,DFW,A,75-79,7320
2019,DFW,H,75-79,17229
2019,DFW,W,75-79,110684
2019,DFW,B,75-79,16739
2019,DFW,A,75-79,7320
2019,DFW,H,75-79,17229
2019,DFW,W,75-79,110684
2019,DFW,B,75-79,16739
2019,DFW,A,75-79,7320
2019,DFW,H,75-79,17229
2019,DFW,W,75-79,110684
2019,DFW,B,75-79,16739
2019,DFW,A,75-79,7320
2019,DFW,H,75-79,17229
2019,El Paso,W,50-54,6466
2019,El Paso,B,50-54,1019
2019,El Paso,A,50-54,543
2019,El Paso,H,50-54,37939
2019,El Paso,W,50-54,6466
2019,El Paso,B,50-54,1019
2019,El Paso,A,50-54,543
2019,El Paso,H,50-54,37939
2019,El Paso,W,50-54,6466
2019,El Paso,B,50-54,1019
2019,El Paso,A,50-54,543
2019,El Paso,H,50-54,37939
2019,El Paso,W,50-54,6466
2019,El Paso,B,50-54,1019
2019,El Paso,A,50-54,543
2019,El Paso,H,50-54,37939
2019,El Paso,W,50-54,6466
2019,El Paso,B,50-54,1019
2019,El Paso,A,50-54,543
2019,El Paso,H,50-54,37939
2019,El Paso,W,55-59,7099
2019,El Paso,B,55-59,1504
2019,El Paso,A,55-59,458
2019,El Paso,H,55-59,38311
2019,El Paso,W,55-59,7099
2019,El Paso,B,55-59,1504
2019,El Paso,A,55-59,458
2019,El Paso,H,55-59,38311
2019,El Paso,W,55-59,7099
2019,El Paso,B,55-59,1504
2019,El Paso,A,55-59,458
2019,El Paso,H,55-59,38311
2019,El Paso,W,55-59,7099
2019,El Paso,B,55-59,1504
2019,El Paso,A,55-59,458
2019,El Paso,H,55-59,38311
2019,El Paso,W,55-59,7099
2019,El Paso,B,55-59,1504
2019,El Paso,A,55-59,458
2019,El Paso,H,55-59,38311
2019,El Paso,W,60-64,7174
2019,El Paso,B,60-64,1647
2019,El Paso,A,60-64,500
2019,El Paso,H,60-64,34484
2019,El Paso,W,60-64,7174
2019,El Paso,B,60-64,1647
2019,El Paso,A,60-64,500
2019,El Paso,H,60-64,34484
2019,El Paso,W,60-64,7174
2019,El Paso,B,60-64,1647
2019,El Paso,A,60-64,500
2019,El Paso,H,60-64,34484
2019,El Paso,W,60-64,7174
2019,El Paso,B,60-64,1647
2019,El Paso,A,60-64,500
2019,El Paso,H,60-64,34484
2019,El Paso,W,60-64,7174
2019,El Paso,B,60-64,1647
2019,El Paso,A,60-64,500
2019,El Paso,H,60-64,34484
2019,El Paso,W,65-69,6636
2019,El Paso,B,65-69,1043
2019,El Paso,A,65-69,391
2019,El Paso,H,65-69,27858
2019,El Paso,W,65-69,6636
2019,El Paso,B,65-69,1043
2019,El Paso,A,65-69,391
2019,El Paso,H,65-69,27858
2019,El Paso,W,65-69,6636
2019,El Paso,B,65-69,1043
2019,El Paso,A,65-69,391
2019,El Paso,H,65-69,27858
2019,El Paso,W,65-69,6636
2019,El Paso,B,65-69,1043
2019,El Paso,A,65-69,391
2019,El Paso,H,65-69,27858
2019,El Paso,W,65-69,6636
2019,El Paso,B,65-69,1043
2019,El Paso,A,65-69,391
2019,El Paso,H,65-69,27858
2019,El Paso,W,70-74,5643
2019,El Paso,B,70-74,702
2019,El Paso,A,70-74,348
2019,El Paso,H,70-74,21422
2019,El Paso,W,70-74,5643
2019,El Paso,B,70-74,702
2019,El Paso,A,70-74,348
2019,El Paso,H,70-74,21422
2019,El Paso,W,70-74,5643
2019,El Paso,B,70-74,702
2019,El Paso,A,70-74,348
2019,El Paso,H,70-74,21422
2019,El Paso,W,70-74,5643
2019,El Paso,B,70-74,702
2019,El Paso,A,70-74,348
2019,El Paso,H,70-74,21422
2019,El Paso,W,70-74,5643
2019,El Paso,B,70-74,702
2019,El Paso,A,70-74,348
2019,El Paso,H,70-74,21422
2019,El Paso,W,75-79,4017
2019,El Paso,B,75-79,540
2019,El Paso,A,75-79,202
2019,El Paso,H,75-79,14506
2019,El Paso,W,75-79,4017
2019,El Paso,B,75-79,540
2019,El Paso,A,75-79,202
2019,El Paso,H,75-79,14506
2019,El Paso,W,75-79,4017
2019,El Paso,B,75-79,540
2019,El Paso,A,75-79,202
2019,El Paso,H,75-79,14506
2019,El Paso,W,75-79,4017
2019,El Paso,B,75-79,540
2019,El Paso,A,75-79,202
2019,El Paso,H,75-79,14506
2019,El Paso,W,75-79,4017
2019,El Paso,B,75-79,540
2019,El Paso,A,75-79,202
2019,El Paso,H,75-79,14506
2019,Houston,W,50-54,163508
2019,Houston,B,50-54,67578
2019,Houston,A,50-54,37706
2019,Houston,H,50-54,144009
2019,Houston,W,50-54,163508
2019,Houston,B,50-54,67578
2019,Houston,A,50-54,37706
2019,Houston,H,50-54,144009
2019,Houston,W,50-54,163508
2019,Houston,B,50-54,67578
2019,Houston,A,50-54,37706
2019,Houston,H,50-54,144009
2019,Houston,W,50-54,163508
2019,Houston,B,50-54,67578
2019,Houston,A,50-54,37706
2019,Houston,H,50-54,144009
2019,Houston,W,50-54,163508
2019,Houston,B,50-54,67578
2019,Houston,A,50-54,37706
2019,Houston,H,50-54,144009
2019,Houston,W,55-59,185247
2019,Houston,B,55-59,66900
2019,Houston,A,55-59,33221
2019,Houston,H,55-59,120395
2019,Houston,W,55-59,185247
2019,Houston,B,55-59,66900
2019,Houston,A,55-59,33221
2019,Houston,H,55-59,120395
2019,Houston,W,55-59,185247
2019,Houston,B,55-59,66900
2019,Houston,A,55-59,33221
2019,Houston,H,55-59,120395
2019,Houston,W,55-59,185247
2019,Houston,B,55-59,66900
2019,Houston,A,55-59,33221
2019,Houston,H,55-59,120395
2019,Houston,W,55-59,185247
2019,Houston,B,55-59,66900
2019,Houston,A,55-59,33221
2019,Houston,H,55-59,120395
2019,Houston,W,60-64,187245
2019,Houston,B,60-64,61022
2019,Houston,A,60-64,29283
2019,Houston,H,60-64,91908
2019,Houston,W,60-64,187245
2019,Houston,B,60-64,61022
2019,Houston,A,60-64,29283
2019,Houston,H,60-64,91908
2019,Houston,W,60-64,187245
2019,Houston,B,60-64,61022
2019,Houston,A,60-64,29283
2019,Houston,H,60-64,91908
2019,Houston,W,60-64,187245
2019,Houston,B,60-64,61022
2019,Houston,A,60-64,29283
2019,Houston,H,60-64,91908
2019,Houston,W,60-64,187245
2019,Houston,B,60-64,61022
2019,Houston,A,60-64,29283
2019,Houston,H,60-64,91908
2019,Houston,W,65-69,154562
2019,Houston,B,65-69,47313
2019,Houston,A,65-69,24559
2019,Houston,H,65-69,62122
2019,Houston,W,65-69,154562
2019,Houston,B,65-69,47313
2019,Houston,A,65-69,24559
2019,Houston,H,65-69,62122
2019,Houston,W,65-69,154562
2019,Houston,B,65-69,47313
2019,Houston,A,65-69,24559
2019,Houston,H,65-69,62122
2019,Houston,W,65-69,154562
2019,Houston,B,65-69,47313
2019,Houston,A,65-69,24559
2019,Houston,H,65-69,62122
2019,Houston,W,65-69,154562
2019,Houston,B,65-69,47313
2019,Houston,A,65-69,24559
2019,Houston,H,65-69,62122
2019,Houston,W,70-74,122007
2019,Houston,B,70-74,31812
2019,Houston,A,70-74,16846
2019,Houston,H,70-74,39548
2019,Houston,W,70-74,122007
2019,Houston,B,70-74,31812
2019,Houston,A,70-74,16846
2019,Houston,H,70-74,39548
2019,Houston,W,70-74,122007
2019,Houston,B,70-74,31812
2019,Houston,A,70-74,16846
2019,Houston,H,70-74,39548
2019,Houston,W,70-74,122007
2019,Houston,B,70-74,31812
2019,Houston,A,70-74,16846
2019,Houston,H,70-74,39548
2019,Houston,W,70-74,122007
2019,Houston,B,70-74,31812
2019,Houston,A,70-74,16846
2019,Houston,H,70-74,39548
2019,Houston,W,75-79,81177
2019,Houston,B,75-79,18973
2019,Houston,A,75-79,10350
2019,Houston,H,75-79,23498
2019,Houston,W,75-79,81177
2019,Houston,B,75-79,18973
2019,Houston,A,75-79,10350
2019,Houston,H,75-79,23498
2019,Houston,W,75-79,81177
2019,Houston,B,75-79,18973
2019,Houston,A,75-79,10350
2019,Houston,H,75-79,23498
2019,Houston,W,75-79,81177
2019,Houston,B,75-79,18973
2019,Houston,A,75-79,10350
2019,Houston,H,75-79,23498
2019,Houston,W,75-79,81177
2019,Houston,B,75-79,18973
2019,Houston,A,75-79,10350
2019,Houston,H,75-79,23498
2019,Houston,W,50-54,163508
2019,Houston,B,50-54,67578
2019,Houston,A,50-54,37706
2019,Houston,H,50-54,144009
2019,Houston,W,50-54,163508
2019,Houston,B,50-54,67578
2019,Houston,A,50-54,37706
2019,Houston,H,50-54,144009
2019,Houston,W,50-54,163508
2019,Houston,B,50-54,67578
2019,Houston,A,50-54,37706
2019,Houston,H,50-54,144009
2019,Houston,W,50-54,163508
2019,Houston,B,50-54,67578
2019,Houston,A,50-54,37706
2019,Houston,H,50-54,144009
2019,Houston,W,50-54,163508
2019,Houston,B,50-54,67578
2019,Houston,A,50-54,37706
2019,Houston,H,50-54,144009
2019,Houston,W,55-59,185247
2019,Houston,B,55-59,66900
2019,Houston,A,55-59,33221
2019,Houston,H,55-59,120395
2019,Houston,W,55-59,185247
2019,Houston,B,55-59,66900
2019,Houston,A,55-59,33221
2019,Houston,H,55-59,120395
2019,Houston,W,55-59,185247
2019,Houston,B,55-59,66900
2019,Houston,A,55-59,33221
2019,Houston,H,55-59,120395
2019,Houston,W,55-59,185247
2019,Houston,B,55-59,66900
2019,Houston,A,55-59,33221
2019,Houston,H,55-59,120395
2019,Houston,W,55-59,185247
2019,Houston,B,55-59,66900
2019,Houston,A,55-59,33221
2019,Houston,H,55-59,120395
2019,Houston,W,60-64,187245
2019,Houston,B,60-64,61022
2019,Houston,A,60-64,29283
2019,Houston,H,60-64,91908
2019,Houston,W,60-64,187245
2019,Houston,B,60-64,61022
2019,Houston,A,60-64,29283
2019,Houston,H,60-64,91908
2019,Houston,W,60-64,187245
2019,Houston,B,60-64,61022
2019,Houston,A,60-64,29283
2019,Houston,H,60-64,91908
2019,Houston,W,60-64,187245
2019,Houston,B,60-64,61022
2019,Houston,A,60-64,29283
2019,Houston,H,60-64,91908
2019,Houston,W,60-64,187245
2019,Houston,B,60-64,61022
2019,Houston,A,60-64,29283
2019,Houston,H,60-64,91908
2019,Houston,W,65-69,154562
2019,Houston,B,65-69,47313
2019,Houston,A,65-69,24559
2019,Houston,H,65-69,62122
2019,Houston,W,65-69,154562
2019,Houston,B,65-69,47313
2019,Houston,A,65-69,24559
2019,Houston,H,65-69,62122
2019,Houston,W,65-69,154562
2019,Houston,B,65-69,47313
2019,Houston,A,65-69,24559
2019,Houston,H,65-69,62122
2019,Houston,W,65-69,154562
2019,Houston,B,65-69,47313
2019,Houston,A,65-69,24559
2019,Houston,H,65-69,62122
2019,Houston,W,65-69,154562
2019,Houston,B,65-69,47313
2019,Houston,A,65-69,24559
2019,Houston,H,65-69,62122
2019,Houston,W,70-74,122007
2019,Houston,B,70-74,31812
2019,Houston,A,70-74,16846
2019,Houston,H,70-74,39548
2019,Houston,W,70-74,122007
2019,Houston,B,70-74,31812
2019,Houston,A,70-74,16846
2019,Houston,H,70-74,39548
2019,Houston,W,70-74,122007
2019,Houston,B,70-74,31812
2019,Houston,A,70-74,16846
2019,Houston,H,70-74,39548
2019,Houston,W,70-74,122007
2019,Houston,B,70-74,31812
2019,Houston,A,70-74,16846
2019,Houston,H,70-74,39548
2019,Houston,W,70-74,122007
2019,Houston,B,70-74,31812
2019,Houston,A,70-74,16846
2019,Houston,H,70-74,39548
2019,Houston,W,75-79,81177
2019,Houston,B,75-79,18973
2019,Houston,A,75-79,10350
2019,Houston,H,75-79,23498
2019,Houston,W,75-79,81177
2019,Houston,B,75-79,18973
2019,Houston,A,75-79,10350
2019,Houston,H,75-79,23498
2019,Houston,W,75-79,81177
2019,Houston,B,75-79,18973
2019,Houston,A,75-79,10350
2019,Houston,H,75-79,23498
2019,Houston,W,75-79,81177
2019,Houston,B,75-79,18973
2019,Houston,A,75-79,10350
2019,Houston,H,75-79,23498
2019,Houston,W,75-79,81177
2019,Houston,B,75-79,18973
2019,Houston,A,75-79,10350
2019,Houston,H,75-79,23498
2019,San Antonio,W,50-54,52829
2019,San Antonio,B,50-54,11107
2019,San Antonio,A,50-54,3762
2019,San Antonio,H,50-54,75276
2019,San Antonio,W,50-54,52829
2019,San Antonio,B,50-54,11107
2019,San Antonio,A,50-54,3762
2019,San Antonio,H,50-54,75276
2019,San Antonio,W,50-54,52829
2019,San Antonio,B,50-54,11107
2019,San Antonio,A,50-54,3762
2019,San Antonio,H,50-54,75276
2019,San Antonio,W,50-54,52829
2019,San Antonio,B,50-54,11107
2019,San Antonio,A,50-54,3762
2019,San Antonio,H,50-54,75276
2019,San Antonio,W,50-54,52829
2019,San Antonio,B,50-54,11107
2019,San Antonio,A,50-54,3762
2019,San Antonio,H,50-54,75276
2019,San Antonio,W,55-59,61195
2019,San Antonio,B,55-59,11830
2019,San Antonio,A,55-59,3587
2019,San Antonio,H,55-59,72350
2019,San Antonio,W,55-59,61195
2019,San Antonio,B,55-59,11830
2019,San Antonio,A,55-59,3587
2019,San Antonio,H,55-59,72350
2019,San Antonio,W,55-59,61195
2019,San Antonio,B,55-59,11830
2019,San Antonio,A,55-59,3587
2019,San Antonio,H,55-59,72350
2019,San Antonio,W,55-59,61195
2019,San Antonio,B,55-59,11830
2019,San Antonio,A,55-59,3587
2019,San Antonio,H,55-59,72350
2019,San Antonio,W,55-59,61195
2019,San Antonio,B,55-59,11830
2019,San Antonio,A,55-59,3587
2019,San Antonio,H,55-59,72350
2019,San Antonio,W,60-64,59336
2019,San Antonio,B,60-64,10179
2019,San Antonio,A,60-64,3138
2019,San Antonio,H,60-64,61432
2019,San Antonio,W,60-64,59336
2019,San Antonio,B,60-64,10179
2019,San Antonio,A,60-64,3138
2019,San Antonio,H,60-64,61432
2019,San Antonio,W,60-64,59336
2019,San Antonio,B,60-64,10179
2019,San Antonio,A,60-64,3138
2019,San Antonio,H,60-64,61432
2019,San Antonio,W,60-64,59336
2019,San Antonio,B,60-64,10179
2019,San Antonio,A,60-64,3138
2019,San Antonio,H,60-64,61432
2019,San Antonio,W,60-64,59336
2019,San Antonio,B,60-64,10179
2019,San Antonio,A,60-64,3138
2019,San Antonio,H,60-64,61432
2019,San Antonio,W,65-69,53909
2019,San Antonio,B,65-69,7456
2019,San Antonio,A,65-69,2578
2019,San Antonio,H,65-69,49678
2019,San Antonio,W,65-69,53909
2019,San Antonio,B,65-69,7456
2019,San Antonio,A,65-69,2578
2019,San Antonio,H,65-69,49678
2019,San Antonio,W,65-69,53909
2019,San Antonio,B,65-69,7456
2019,San Antonio,A,65-69,2578
2019,San Antonio,H,65-69,49678
2019,San Antonio,W,65-69,53909
2019,San Antonio,B,65-69,7456
2019,San Antonio,A,65-69,2578
2019,San Antonio,H,65-69,49678
2019,San Antonio,W,65-69,53909
2019,San Antonio,B,65-69,7456
2019,San Antonio,A,65-69,2578
2019,San Antonio,H,65-69,49678
2019,San Antonio,W,70-74,46714
2019,San Antonio,B,70-74,4742
2019,San Antonio,A,70-74,1869
2019,San Antonio,H,70-74,37424
2019,San Antonio,W,70-74,46714
2019,San Antonio,B,70-74,4742
2019,San Antonio,A,70-74,1869
2019,San Antonio,H,70-74,37424
2019,San Antonio,W,70-74,46714
2019,San Antonio,B,70-74,4742
2019,San Antonio,A,70-74,1869
2019,San Antonio,H,70-74,37424
2019,San Antonio,W,70-74,46714
2019,San Antonio,B,70-74,4742
2019,San Antonio,A,70-74,1869
2019,San Antonio,H,70-74,37424
2019,San Antonio,W,70-74,46714
2019,San Antonio,B,70-74,4742
2019,San Antonio,A,70-74,1869
2019,San Antonio,H,70-74,37424
2019,San Antonio,W,75-79,31828
2019,San Antonio,B,75-79,3031
2019,San Antonio,A,75-79,1157
2019,San Antonio,H,75-79,23526
2019,San Antonio,W,75-79,31828
2019,San Antonio,B,75-79,3031
2019,San Antonio,A,75-79,1157
2019,San Antonio,H,75-79,23526
2019,San Antonio,W,75-79,31828
2019,San Antonio,B,75-79,3031
2019,San Antonio,A,75-79,1157
2019,San Antonio,H,75-79,23526
2019,San Antonio,W,75-79,31828
2019,San Antonio,B,75-79,3031
2019,San Antonio,A,75-79,1157
2019,San Antonio,H,75-79,23526
2019,San Antonio,W,75-79,31828
2019,San Antonio,B,75-79,3031
2019,San Antonio,A,75-79,1157
2019,San Antonio,H,75-79,23526
2019,Houston,W,50-54,163508
2019,Houston,B,50-54,67578
2019,Houston,A,50-54,37706
2019,Houston,H,50-54,144009
2019,Houston,W,50-54,163508
2019,Houston,B,50-54,67578
2019,Houston,A,50-54,37706
2019,Houston,H,50-54,144009
2019,Houston,W,50-54,163508
2019,Houston,B,50-54,67578
2019,Houston,A,50-54,37706
2019,Houston,H,50-54,144009
2019,Houston,W,50-54,163508
2019,Houston,B,50-54,67578
2019,Houston,A,50-54,37706
2019,Houston,H,50-54,144009
2019,Houston,W,50-54,163508
2019,Houston,B,50-54,67578
2019,Houston,A,50-54,37706
2019,Houston,H,50-54,144009
2019,Houston,W,55-59,185247
2019,Houston,B,55-59,66900
2019,Houston,A,55-59,33221
2019,Houston,H,55-59,120395
2019,Houston,W,55-59,185247
2019,Houston,B,55-59,66900
2019,Houston,A,55-59,33221
2019,Houston,H,55-59,120395
2019,Houston,W,55-59,185247
2019,Houston,B,55-59,66900
2019,Houston,A,55-59,33221
2019,Houston,H,55-59,120395
2019,Houston,W,55-59,185247
2019,Houston,B,55-59,66900
2019,Houston,A,55-59,33221
2019,Houston,H,55-59,120395
2019,Houston,W,55-59,185247
2019,Houston,B,55-59,66900
2019,Houston,A,55-59,33221
2019,Houston,H,55-59,120395
2019,Houston,W,60-64,187245
2019,Houston,B,60-64,61022
2019,Houston,A,60-64,29283
2019,Houston,H,60-64,91908
2019,Houston,W,60-64,187245
2019,Houston,B,60-64,61022
2019,Houston,A,60-64,29283
2019,Houston,H,60-64,91908
2019,Houston,W,60-64,187245
2019,Houston,B,60-64,61022
2019,Houston,A,60-64,29283
2019,Houston,H,60-64,91908
2019,Houston,W,60-64,187245
2019,Houston,B,60-64,61022
2019,Houston,A,60-64,29283
2019,Houston,H,60-64,91908
2019,Houston,W,60-64,187245
2019,Houston,B,60-64,61022
2019,Houston,A,60-64,29283
2019,Houston,H,60-64,91908
2019,Houston,W,65-69,154562
2019,Houston,B,65-69,47313
2019,Houston,A,65-69,24559
2019,Houston,H,65-69,62122
2019,Houston,W,65-69,154562
2019,Houston,B,65-69,47313
2019,Houston,A,65-69,24559
2019,Houston,H,65-69,62122
2019,Houston,W,65-69,154562
2019,Houston,B,65-69,47313
2019,Houston,A,65-69,24559
2019,Houston,H,65-69,62122
2019,Houston,W,65-69,154562
2019,Houston,B,65-69,47313
2019,Houston,A,65-69,24559
2019,Houston,H,65-69,62122
2019,Houston,W,65-69,154562
2019,Houston,B,65-69,47313
2019,Houston,A,65-69,24559
2019,Houston,H,65-69,62122
2019,Houston,W,70-74,122007
2019,Houston,B,70-74,31812
2019,Houston,A,70-74,16846
2019,Houston,H,70-74,39548
2019,Houston,W,70-74,122007
2019,Houston,B,70-74,31812
2019,Houston,A,70-74,16846
2019,Houston,H,70-74,39548
2019,Houston,W,70-74,122007
2019,Houston,B,70-74,31812
2019,Houston,A,70-74,16846
2019,Houston,H,70-74,39548
2019,Houston,W,70-74,122007
2019,Houston,B,70-74,31812
2019,Houston,A,70-74,16846
2019,Houston,H,70-74,39548
2019,Houston,W,70-74,122007
2019,Houston,B,70-74,31812
2019,Houston,A,70-74,16846
2019,Houston,H,70-74,39548
2019,Houston,W,75-79,81177
2019,Houston,B,75-79,18973
2019,Houston,A,75-79,10350
2019,Houston,H,75-79,23498
2019,Houston,W,75-79,81177
2019,Houston,B,75-79,18973
2019,Houston,A,75-79,10350
2019,Houston,H,75-79,23498
2019,Houston,W,75-79,81177
2019,Houston,B,75-79,18973
2019,Houston,A,75-79,10350
2019,Houston,H,75-79,23498
2019,Houston,W,75-79,81177
2019,Houston,B,75-79,18973
2019,Houston,A,75-79,10350
2019,Houston,H,75-79,23498
2019,Houston,W,75-79,81177
2019,Houston,B,75-79,18973
2019,Houston,A,75-79,10350
2019,Houston,H,75-79,23498
2019,Austin,W,50-54,74677
2019,Austin,B,50-54,10677
2019,Austin,A,50-54,8239
2019,Austin,H,50-54,38793
2019,Austin,W,50-54,74677
2019,Austin,B,50-54,10677
2019,Austin,A,50-54,8239
2019,Austin,H,50-54,38793
2019,Austin,W,50-54,74677
2019,Austin,B,50-54,10677
2019,Austin,A,50-54,8239
2019,Austin,H,50-54,38793
2019,Austin,W,50-54,74677
2019,Austin,B,50-54,10677
2019,Austin,A,50-54,8239
2019,Austin,H,50-54,38793
2019,Austin,W,50-54,74677
2019,Austin,B,50-54,10677
2019,Austin,A,50-54,8239
2019,Austin,H,50-54,38793
2019,Austin,W,55-59,78467
2019,Austin,B,55-59,10617
2019,Austin,A,55-59,6428
2019,Austin,H,55-59,32594
2019,Austin,W,55-59,78467
2019,Austin,B,55-59,10617
2019,Austin,A,55-59,6428
2019,Austin,H,55-59,32594
2019,Austin,W,55-59,78467
2019,Austin,B,55-59,10617
2019,Austin,A,55-59,6428
2019,Austin,H,55-59,32594
2019,Austin,W,55-59,78467
2019,Austin,B,55-59,10617
2019,Austin,A,55-59,6428
2019,Austin,H,55-59,32594
2019,Austin,W,55-59,78467
2019,Austin,B,55-59,10617
2019,Austin,A,55-59,6428
2019,Austin,H,55-59,32594
2019,Austin,W,60-64,74581
2019,Austin,B,60-64,8987
2019,Austin,A,60-64,4827
2019,Austin,H,60-64,24720
2019,Austin,W,60-64,74581
2019,Austin,B,60-64,8987
2019,Austin,A,60-64,4827
2019,Austin,H,60-64,24720
2019,Austin,W,60-64,74581
2019,Austin,B,60-64,8987
2019,Austin,A,60-64,4827
2019,Austin,H,60-64,24720
2019,Austin,W,60-64,74581
2019,Austin,B,60-64,8987
2019,Austin,A,60-64,4827
2019,Austin,H,60-64,24720
2019,Austin,W,60-64,74581
2019,Austin,B,60-64,8987
2019,Austin,A,60-64,4827
2019,Austin,H,60-64,24720
2019,Austin,W,65-69,64514
2019,Austin,B,65-69,6366
2019,Austin,A,65-69,3683
2019,Austin,H,65-69,16842
2019,Austin,W,65-69,64514
2019,Austin,B,65-69,6366
2019,Austin,A,65-69,3683
2019,Austin,H,65-69,16842
2019,Austin,W,65-69,64514
2019,Austin,B,65-69,6366
2019,Austin,A,65-69,3683
2019,Austin,H,65-69,16842
2019,Austin,W,65-69,64514
2019,Austin,B,65-69,6366
2019,Austin,A,65-69,3683
2019,Austin,H,65-69,16842
2019,Austin,W,65-69,64514
2019,Austin,B,65-69,6366
2019,Austin,A,65-69,3683
2019,Austin,H,65-69,16842
2019,Austin,W,70-74,48717
2019,Austin,B,70-74,3803
2019,Austin,A,70-74,2564
2019,Austin,H,70-74,11096
2019,Austin,W,70-74,48717
2019,Austin,B,70-74,3803
2019,Austin,A,70-74,2564
2019,Austin,H,70-74,11096
2019,Austin,W,70-74,48717
2019,Austin,B,70-74,3803
2019,Austin,A,70-74,2564
2019,Austin,H,70-74,11096
2019,Austin,W,70-74,48717
2019,Austin,B,70-74,3803
2019,Austin,A,70-74,2564
2019,Austin,H,70-74,11096
2019,Austin,W,70-74,48717
2019,Austin,B,70-74,3803
2019,Austin,A,70-74,2564
2019,Austin,H,70-74,11096
2019,Austin,W,75-79,30852
2019,Austin,B,75-79,2199
2019,Austin,A,75-79,1486
2019,Austin,H,75-79,6469
2019,Austin,W,75-79,30852
2019,Austin,B,75-79,2199
2019,Austin,A,75-79,1486
2019,Austin,H,75-79,6469
2019,Austin,W,75-79,30852
2019,Austin,B,75-79,2199
2019,Austin,A,75-79,1486
2019,Austin,H,75-79,6469
2019,Austin,W,75-79,30852
2019,Austin,B,75-79,2199
2019,Austin,A,75-79,1486
2019,Austin,H,75-79,6469
2019,Austin,W,75-79,30852
2019,Austin,B,75-79,2199
2019,Austin,A,75-79,1486
2019,Austin,H,75-79,6469
2019,El Paso,W,50-54,6466
2019,El Paso,B,50-54,1019
2019,El Paso,A,50-54,543
2019,El Paso,H,50-54,37939
2019,El Paso,W,50-54,6466
2019,El Paso,B,50-54,1019
2019,El Paso,A,50-54,543
2019,El Paso,H,50-54,37939
2019,El Paso,W,50-54,6466
2019,El Paso,B,50-54,1019
2019,El Paso,A,50-54,543
2019,El Paso,H,50-54,37939
2019,El Paso,W,50-54,6466
2019,El Paso,B,50-54,1019
2019,El Paso,A,50-54,543
2019,El Paso,H,50-54,37939
2019,El Paso,W,50-54,6466
2019,El Paso,B,50-54,1019
2019,El Paso,A,50-54,543
2019,El Paso,H,50-54,37939
2019,El Paso,W,55-59,7099
2019,El Paso,B,55-59,1504
2019,El Paso,A,55-59,458
2019,El Paso,H,55-59,38311
2019,El Paso,W,55-59,7099
2019,El Paso,B,55-59,1504
2019,El Paso,A,55-59,458
2019,El Paso,H,55-59,38311
2019,El Paso,W,55-59,7099
2019,El Paso,B,55-59,1504
2019,El Paso,A,55-59,458
2019,El Paso,H,55-59,38311
2019,El Paso,W,55-59,7099
2019,El Paso,B,55-59,1504
2019,El Paso,A,55-59,458
2019,El Paso,H,55-59,38311
2019,El Paso,W,55-59,7099
2019,El Paso,B,55-59,1504
2019,El Paso,A,55-59,458
2019,El Paso,H,55-59,38311
2019,El Paso,W,60-64,7174
2019,El Paso,B,60-64,1647
2019,El Paso,A,60-64,500
2019,El Paso,H,60-64,34484
